New_ID,Old_ID,New_F,Old_F
A1.dat,A1.dat,F1.dat,F1.dat
A2.dat,A2.dat,F2.dat,F2.dat
A3.dat,A3.dat,F3.dat,F3.dat
A4.dat,A4.dat,F4.dat,F4.dat
A5.dat,A5.dat,F5.dat,F5.dat
A6.dat,A6.dat,F6.dat,F6.dat
A7.dat,A7.dat,F7.dat,F7.dat
A8.dat,A8.dat,F8.dat,F8.dat
A9.dat,A9.dat,F9.dat,F9.dat
A10.dat,A10.dat,F10.dat,F10.dat
A11.dat,A11.dat,F11.dat,F11.dat
A12.dat,A45.dat,F12.dat,F45.dat
A13.dat,A46.dat,F13.dat,F46.dat
A14.dat,A47.dat,F14.dat,F47.dat
A15.dat,A48.dat,F15.dat,F48.dat
A16.dat,A49.dat,F16.dat,F49.dat
A17.dat,A50.dat,F17.dat,F50.dat
A18.dat,A51.dat,F18.dat,F51.dat
A19.dat,A52.dat,F19.dat,F52.dat
A20.dat,A53.dat,F20.dat,F53.dat
A21.dat,A54.dat,F21.dat,F54.dat
A22.dat,A55.dat,F22.dat,F55.dat
A23.dat,A89.dat,F23.dat,F89.dat
A24.dat,A90.dat,F24.dat,F90.dat
A25.dat,A91.dat,F25.dat,F91.dat
A26.dat,A92.dat,F26.dat,F92.dat
A27.dat,A93.dat,F27.dat,F93.dat
A28.dat,A94.dat,F28.dat,F94.dat
A29.dat,A95.dat,F29.dat,F95.dat
A30.dat,A96.dat,F30.dat,F96.dat
A31.dat,A97.dat,F31.dat,F97.dat
A32.dat,A98.dat,F32.dat,F98.dat
A33.dat,A99.dat,F33.dat,F99.dat
A34.dat,A133.dat,F34.dat,F133.dat
A35.dat,A134.dat,F35.dat,F134.dat
A36.dat,A135.dat,F36.dat,F135.dat
A37.dat,A136.dat,F37.dat,F136.dat
A38.dat,A137.dat,F38.dat,F137.dat
A39.dat,A138.dat,F39.dat,F138.dat
A40.dat,A139.dat,F40.dat,F139.dat
A41.dat,A140.dat,F41.dat,F140.dat
A42.dat,A141.dat,F42.dat,F141.dat
A43.dat,A142.dat,F43.dat,F142.dat
A44.dat,A143.dat,F44.dat,F143.dat
A45.dat,A177.dat,F45.dat,F177.dat
A46.dat,A178.dat,F46.dat,F178.dat
A47.dat,A179.dat,F47.dat,F179.dat
A48.dat,A180.dat,F48.dat,F180.dat
A49.dat,A181.dat,F49.dat,F181.dat
A50.dat,A182.dat,F50.dat,F182.dat
A51.dat,A183.dat,F51.dat,F183.dat
A52.dat,A184.dat,F52.dat,F184.dat
A53.dat,A185.dat,F53.dat,F185.dat
A54.dat,A186.dat,F54.dat,F186.dat
A55.dat,A187.dat,F55.dat,F187.dat
A56.dat,A221.dat,F56.dat,F221.dat
A57.dat,A222.dat,F57.dat,F222.dat
A58.dat,A223.dat,F58.dat,F223.dat
A59.dat,A224.dat,F59.dat,F224.dat
A60.dat,A225.dat,F60.dat,F225.dat
A61.dat,A226.dat,F61.dat,F226.dat
A62.dat,A227.dat,F62.dat,F227.dat
A63.dat,A228.dat,F63.dat,F228.dat
A64.dat,A229.dat,F64.dat,F229.dat
A65.dat,A230.dat,F65.dat,F230.dat
A66.dat,A231.dat,F66.dat,F231.dat
