ID,pb_ID,N,h,p,ndof,nnz,A_name,F_name
1,1,1000,0.0572021707075177,1,3000,60876,A1.dat,F1.dat
2,2,1000,0.0572021707075177,1,3000,60876,A2.dat,F1.dat
3,3,1000,0.0572021707075177,1,3000,60876,A3.dat,F1.dat
4,4,1000,0.0572021707075177,1,3000,60876,A4.dat,F1.dat
5,5,1000,0.0572021707075177,1,3000,60876,A5.dat,F1.dat
6,6,1000,0.0572021707075177,1,3000,60876,A6.dat,F1.dat
7,7,1000,0.0572021707075177,1,3000,60876,A7.dat,F1.dat
8,8,1000,0.0572021707075177,1,3000,60876,A8.dat,F1.dat
9,9,1000,0.0572021707075177,1,3000,60876,A9.dat,F1.dat
10,10,1000,0.0572021707075177,1,3000,60876,A10.dat,F1.dat
11,11,1000,0.0572021707075177,1,3000,60876,A11.dat,F1.dat
12,1,1000,0.0572021707075177,2,6000,243504,A12.dat,F12.dat
13,2,1000,0.0572021707075177,2,6000,243504,A13.dat,F12.dat
14,3,1000,0.0572021707075177,2,6000,243504,A14.dat,F12.dat
15,4,1000,0.0572021707075177,2,6000,243504,A15.dat,F12.dat
16,5,1000,0.0572021707075177,2,6000,243504,A16.dat,F12.dat
17,6,1000,0.0572021707075177,2,6000,243504,A17.dat,F12.dat
18,7,1000,0.0572021707075177,2,6000,243504,A18.dat,F12.dat
19,8,1000,0.0572021707075177,2,6000,243504,A19.dat,F12.dat
20,9,1000,0.0572021707075177,2,6000,243504,A20.dat,F12.dat
21,10,1000,0.0572021707075177,2,6000,243504,A21.dat,F12.dat
22,11,1000,0.0572021707075177,2,6000,243504,A22.dat,F12.dat
23,1,1000,0.0572021707075177,3,10000,676400,A23.dat,F23.dat
24,2,1000,0.0572021707075177,3,10000,676400,A24.dat,F23.dat
25,3,1000,0.0572021707075177,3,10000,676400,A25.dat,F23.dat
26,4,1000,0.0572021707075177,3,10000,676400,A26.dat,F23.dat
27,5,1000,0.0572021707075177,3,10000,676400,A27.dat,F23.dat
28,6,1000,0.0572021707075177,3,10000,676400,A28.dat,F23.dat
29,7,1000,0.0572021707075177,3,10000,676400,A29.dat,F23.dat
30,8,1000,0.0572021707075177,3,10000,676400,A30.dat,F23.dat
31,9,1000,0.0572021707075177,3,10000,676400,A31.dat,F23.dat
32,10,1000,0.0572021707075177,3,10000,676400,A32.dat,F23.dat
33,11,1000,0.0572021707075177,3,10000,676400,A33.dat,F23.dat
34,1,1000,0.0572021707075177,4,15000,1521900,A34.dat,F34.dat
35,2,1000,0.0572021707075177,4,15000,1521900,A35.dat,F34.dat
36,3,1000,0.0572021707075177,4,15000,1521900,A36.dat,F34.dat
37,4,1000,0.0572021707075177,4,15000,1521900,A37.dat,F34.dat
38,5,1000,0.0572021707075177,4,15000,1521900,A38.dat,F34.dat
39,6,1000,0.0572021707075177,4,15000,1521900,A39.dat,F34.dat
40,7,1000,0.0572021707075177,4,15000,1521900,A40.dat,F34.dat
41,8,1000,0.0572021707075177,4,15000,1521900,A41.dat,F34.dat
42,9,1000,0.0572021707075177,4,15000,1521900,A42.dat,F34.dat
43,10,1000,0.0572021707075177,4,15000,1521900,A43.dat,F34.dat
44,11,1000,0.0572021707075177,4,15000,1521900,A44.dat,F34.dat
45,1,3000,0.0330938300478048,1,9000,185202,A45.dat,F45.dat
46,2,3000,0.0330938300478048,1,9000,185202,A46.dat,F45.dat
47,3,3000,0.0330938300478048,1,9000,185202,A47.dat,F45.dat
48,4,3000,0.0330938300478048,1,9000,185202,A48.dat,F45.dat
49,5,3000,0.0330938300478048,1,9000,185202,A49.dat,F45.dat
50,6,3000,0.0330938300478048,1,9000,185202,A50.dat,F45.dat
51,7,3000,0.0330938300478048,1,9000,185202,A51.dat,F45.dat
52,8,3000,0.0330938300478048,1,9000,185202,A52.dat,F45.dat
53,9,3000,0.0330938300478048,1,9000,185202,A53.dat,F45.dat
54,10,3000,0.0330938300478048,1,9000,185202,A54.dat,F45.dat
55,11,3000,0.0330938300478048,1,9000,185202,A55.dat,F45.dat
56,1,3000,0.0330938300478048,2,18000,740808,A56.dat,F56.dat
57,2,3000,0.0330938300478048,2,18000,740808,A57.dat,F56.dat
58,3,3000,0.0330938300478048,2,18000,740808,A58.dat,F56.dat
59,4,3000,0.0330938300478048,2,18000,740808,A59.dat,F56.dat
60,5,3000,0.0330938300478048,2,18000,740808,A60.dat,F56.dat
61,6,3000,0.0330938300478048,2,18000,740808,A61.dat,F56.dat
62,7,3000,0.0330938300478048,2,18000,740808,A62.dat,F56.dat
63,8,3000,0.0330938300478048,2,18000,740808,A63.dat,F56.dat
64,9,3000,0.0330938300478048,2,18000,740808,A64.dat,F56.dat
65,10,3000,0.0330938300478048,2,18000,740808,A65.dat,F56.dat
66,11,3000,0.0330938300478048,2,18000,740808,A66.dat,F56.dat
67,1,3000,0.0330938300478048,3,30000,2057800,A67.dat,F67.dat
68,2,3000,0.0330938300478048,3,30000,2057800,A68.dat,F67.dat
69,3,3000,0.0330938300478048,3,30000,2057800,A69.dat,F67.dat
70,4,3000,0.0330938300478048,3,30000,2057800,A70.dat,F67.dat
71,5,3000,0.0330938300478048,3,30000,2057800,A71.dat,F67.dat
72,6,3000,0.0330938300478048,3,30000,2057800,A72.dat,F67.dat
73,7,3000,0.0330938300478048,3,30000,2057800,A73.dat,F67.dat
74,8,3000,0.0330938300478048,3,30000,2057800,A74.dat,F67.dat
75,9,3000,0.0330938300478048,3,30000,2057800,A75.dat,F67.dat
76,10,3000,0.0330938300478048,3,30000,2057800,A76.dat,F67.dat
77,11,3000,0.0330938300478048,3,30000,2057800,A77.dat,F67.dat
78,1,3000,0.0330938300478048,4,45000,4630050,A78.dat,F78.dat
79,2,3000,0.0330938300478048,4,45000,4630050,A79.dat,F78.dat
80,3,3000,0.0330938300478048,4,45000,4630050,A80.dat,F78.dat
81,4,3000,0.0330938300478048,4,45000,4630050,A81.dat,F78.dat
82,5,3000,0.0330938300478048,4,45000,4630050,A82.dat,F78.dat
83,6,3000,0.0330938300478048,4,45000,4630050,A83.dat,F78.dat
84,7,3000,0.0330938300478048,4,45000,4630050,A84.dat,F78.dat
85,8,3000,0.0330938300478048,4,45000,4630050,A85.dat,F78.dat
86,9,3000,0.0330938300478048,4,45000,4630050,A86.dat,F78.dat
87,10,3000,0.0330938300478048,4,45000,4630050,A87.dat,F78.dat
88,11,3000,0.0330938300478048,4,45000,4630050,A88.dat,F78.dat
89,1,5000,0.0258651856586366,1,15000,310194,A89.dat,F89.dat
90,2,5000,0.0258651856586366,1,15000,310194,A90.dat,F89.dat
91,3,5000,0.0258651856586366,1,15000,310194,A91.dat,F89.dat
92,4,5000,0.0258651856586366,1,15000,310194,A92.dat,F89.dat
93,5,5000,0.0258651856586366,1,15000,310194,A93.dat,F89.dat
94,6,5000,0.0258651856586366,1,15000,310194,A94.dat,F89.dat
95,7,5000,0.0258651856586366,1,15000,310194,A95.dat,F89.dat
96,8,5000,0.0258651856586366,1,15000,310194,A96.dat,F89.dat
97,9,5000,0.0258651856586366,1,15000,310194,A97.dat,F89.dat
98,10,5000,0.0258651856586366,1,15000,310194,A98.dat,F89.dat
99,11,5000,0.0258651856586366,1,15000,310194,A99.dat,F89.dat
100,1,5000,0.0258651856586366,2,30000,1240776,A100.dat,F100.dat
101,2,5000,0.0258651856586366,2,30000,1240776,A101.dat,F100.dat
102,3,5000,0.0258651856586366,2,30000,1240776,A102.dat,F100.dat
103,4,5000,0.0258651856586366,2,30000,1240776,A103.dat,F100.dat
104,5,5000,0.0258651856586366,2,30000,1240776,A104.dat,F100.dat
105,6,5000,0.0258651856586366,2,30000,1240776,A105.dat,F100.dat
106,7,5000,0.0258651856586366,2,30000,1240776,A106.dat,F100.dat
107,8,5000,0.0258651856586366,2,30000,1240776,A107.dat,F100.dat
108,9,5000,0.0258651856586366,2,30000,1240776,A108.dat,F100.dat
109,10,5000,0.0258651856586366,2,30000,1240776,A109.dat,F100.dat
110,11,5000,0.0258651856586366,2,30000,1240776,A110.dat,F100.dat
111,1,5000,0.0258651856586366,3,50000,3446600,A111.dat,F111.dat
112,2,5000,0.0258651856586366,3,50000,3446600,A112.dat,F111.dat
113,3,5000,0.0258651856586366,3,50000,3446600,A113.dat,F111.dat
114,4,5000,0.0258651856586366,3,50000,3446600,A114.dat,F111.dat
115,5,5000,0.0258651856586366,3,50000,3446600,A115.dat,F111.dat
116,6,5000,0.0258651856586366,3,50000,3446600,A116.dat,F111.dat
117,7,5000,0.0258651856586366,3,50000,3446600,A117.dat,F111.dat
118,8,5000,0.0258651856586366,3,50000,3446600,A118.dat,F111.dat
119,9,5000,0.0258651856586366,3,50000,3446600,A119.dat,F111.dat
120,10,5000,0.0258651856586366,3,50000,3446600,A120.dat,F111.dat
121,11,5000,0.0258651856586366,3,50000,3446600,A121.dat,F111.dat
122,1,5000,0.0258651856586366,4,75000,7754850,A122.dat,F122.dat
123,2,5000,0.0258651856586366,4,75000,7754850,A123.dat,F122.dat
124,3,5000,0.0258651856586366,4,75000,7754850,A124.dat,F122.dat
125,4,5000,0.0258651856586366,4,75000,7754850,A125.dat,F122.dat
126,5,5000,0.0258651856586366,4,75000,7754850,A126.dat,F122.dat
127,6,5000,0.0258651856586366,4,75000,7754850,A127.dat,F122.dat
128,7,5000,0.0258651856586366,4,75000,7754850,A128.dat,F122.dat
129,8,5000,0.0258651856586366,4,75000,7754850,A129.dat,F122.dat
130,9,5000,0.0258651856586366,4,75000,7754850,A130.dat,F122.dat
131,10,5000,0.0258651856586366,4,75000,7754850,A131.dat,F122.dat
132,11,5000,0.0258651856586366,4,75000,7754850,A132.dat,F122.dat
133,1,7000,0.0218053611906534,1,21000,435276,A133.dat,F133.dat
134,2,7000,0.0218053611906534,1,21000,435276,A134.dat,F133.dat
135,3,7000,0.0218053611906534,1,21000,435276,A135.dat,F133.dat
136,4,7000,0.0218053611906534,1,21000,435276,A136.dat,F133.dat
137,5,7000,0.0218053611906534,1,21000,435276,A137.dat,F133.dat
138,6,7000,0.0218053611906534,1,21000,435276,A138.dat,F133.dat
139,7,7000,0.0218053611906534,1,21000,435276,A139.dat,F133.dat
140,8,7000,0.0218053611906534,1,21000,435276,A140.dat,F133.dat
141,9,7000,0.0218053611906534,1,21000,435276,A141.dat,F133.dat
142,10,7000,0.0218053611906534,1,21000,435276,A142.dat,F133.dat
143,11,7000,0.0218053611906534,1,21000,435276,A143.dat,F133.dat
144,1,7000,0.0218053611906534,2,42000,1741104,A144.dat,F144.dat
